Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Armenia,ARM,1818.286948,1990.577896,2115.611643,2313.620772,2439.911173,2658.349518,2995.907863,3463.98378,4043.663101,4614.862114,5455.422185,6411.806636,7551.635907,8300.483424,7233.044937,7506.308865,8025.452905,9364.407767,9835.833011,10036.88984,9969.685301,10704.23341,12115.05701,13014.99203,14219.62771
Azerbaijan,AZE,2359.216402,2409.193306,2567.987405,2829.595097,3055.925307,3442.631932,3836.599591,4233.440063,4716.377612,5245.425251,6850.813019,9387.109349,11957.39117,13200.94071,14248.89246,14926.63764,14804.57445,15957.71885,17188.94551,17443.87826,14938.40113,14371.02274,14121.40694,14544.95336,15000.8165
Belarus,BLR,3854.031976,4047.990731,4606.719594,5073.961933,5344.658213,5808.357426,6248.211382,6709.845503,7367.193779,8489.484087,9642.429792,10994.76674,12317.4565,13885.74672,14050.88031,15349.22813,16543.04373,18071.5056,18948.46847,18955.90703,18041.2425,17725.75218,18280.19892,19330.86888,19943.29252
Estonia,EST,6460.460136,6870.955277,7966.306455,8438.264699,8419.571355,9437.242789,10326.28527,11670.36527,13123.02805,14521.35657,16624.91204,19310.00474,22168.645,22830.09032,20613.56268,21809.42391,24777.46819,26190.55295,27642.58537,29135.7044,29397.12984,31231.47115,33820.91873,36358.02776,38811.14334
Georgia,GEO,1884.359102,2212.643891,2568.643336,2745.296812,2924.39146,3104.515679,3377.051119,3650.85722,4157.879407,4545.293132,5169.062434,5860.358401,6810.190837,7132.205275,6986.004547,7564.063061,8360.297207,9826.052753,10611.77412,11575.54721,12089.16941,12858.4834,13589.70739,14593.50487,15636.55376
Kazakhstan,KAZ,5925.059979,6156.254923,6470.298906,6530.560445,6868.835504,7733.789443,8985.6555,10021.89696,11119.88781,12428.836,13934.72114,15725.34653,17384.92451,18086.24159,17962.83012,19225.07691,20779.44551,22032.17586,24504.76752,24726.47287,23224.11784,23818.82483,24862.96612,26147.04607,27443.57117
Kyrgyz Republic,KGZ,1402.579196,1506.975557,1660.561941,1688.776658,1749.59438,1863.73919,1987.031711,1999.672673,2157.265386,2342.492743,2384.178026,2505.465168,2766.05448,3027.863024,3101.336928,3085.651936,3297.366837,3618.149726,4042.893053,4281.824074,4214.829509,4681.174733,5046.691535,5254.278486,5470.811536
Lithuania,LTU,5922.32626,6376.143738,7068.317313,7762.968137,7821.640848,8459.605057,9451.723494,10494.34923,12067.90091,13031.53327,14526.07521,16481.7946,19094.20254,20744.07355,18159.68129,20053.90408,22823.95416,24645.69354,26679.97857,28156.18584,28823.81809,30924.93094,33821.19545,35831.86282,38214.20693
Latvia,LVA,5489.763591,5776.003306,6465.938329,7047.96123,7390.392737,8017.565047,9018.46788,10052.59588,11011.10906,12199.20747,13836.85561,15742.43171,18125.9764,19466.07461,16936.93309,17600.41724,19789.47784,21291.23124,22692.81035,23844.29632,24830.92297,26404.52569,28488.92361,30644.60829,32204.45784
Moldova,MDA,3186.275181,3060.050313,3175.811557,3002.661909,2948.042426,3083.73543,3351.094251,3678.128467,4004.961,4428.072832,4920.413061,5327.4283,5647.72573,6218.499816,5897.391828,6396.089272,6913.602292,7363.162319,8381.671833,8827.054108,9254.848605,10610.47784,11651.31745,12665.00369,13574.05143
Tajikistan,TJK,1038.583167,867.9505446,884.5963232,928.1710156,961.6835452,1048.461111,1155.127276,1278.643314,1419.393195,1579.5858,1704.535656,1843.707963,1999.687246,2154.916175,2208.447453,2328.444563,2496.581231,2750.356111,3027.81901,3303.096196,2991.653596,3097.202027,3089.530208,3311.051043,3519.822017
Turkmenistan,TKM,3394.788601,3620.162375,3212.001034,3432.76901,4009.084833,4275.009442,4510.659696,4548.031154,4736.923441,5055.939296,5829.435537,6588.036682,7420.560964,8561.572365,9021.142077,9810.608197,11294.94843,12057.19597,12739.18195,13490.98716,13690.60427,13866.32472,14205.02158,15195.63347,
Ukraine,UKR,3987.005671,3686.570658,3670.940337,3674.412965,3755.244356,4106.835391,4631.60673,4999.09094,5621.903077,6521.610859,6977.258912,7775.60693,8642.21388,9062.247362,7818.303854,8245.375241,8909.659608,9343.33074,10691.76468,10743.58636,10164.32733,11148.19655,11871.12362,12629.14166,13341.21052
Uzbekistan,UZB,2054.754318,2087.63373,2192.338727,2275.426471,2381.723501,2493.602299,2621.01248,2734.591228,2869.680924,3130.132663,3412.029678,3731.413015,4135.335084,4523.223208,4842.245463,5124.122722,5489.078964,5712.824303,5942.396759,6158.502459,6343.149742,6452.927938,6518.804687,6914.889513,7288.765626
Russian Federation,RUS,5613.280647,5517.85889,5699.947617,5465.056362,5914.326062,6825.391511,7361.363679,8037.474535,9254.537201,10226.76615,11822.34693,14912.23393,16648.24164,20163.60942,19389.94118,20490.12672,22798.67443,24303.47341,26073.87453,25761.64802,24085.32418,24125.39886,26005.97994,28763.51663,29181.36322
European Union,EUU,21764.08484,22620.35769,23777.00375,24977.48055,26372.31138,28433.99152,29499.41474,30861.04272,31476.52167,26894.63374,28174.21734,30778.46235,31487.9215,33012.86386,31893.4858,32955.74642,34433.4237,34994.50561,35728.12207,36930.13506,38641.51532,40875.06635,43236.69708,45192.50402,47389.19382
World,WLD,9334.318532,9696.424223,10320.79354,10571.05979,10940.20378,11944.38866,12295.5915,12623.30946,13112.11849,13997.74929,14726.9006,16181.48949,17167.89134,17706.93228,17251.13729,17826.53038,18622.76595,19206.18168,19689.86212,19907.20492,19550.0956,20042.30577,21081.02873,21835.79059,22451.57492
